step,info
34200,"grad_norm=0.1708, loss=0.0061, param_norm=1387.7255"
34300,"grad_norm=0.1584, loss=0.0060, param_norm=1387.7327"
34400,"grad_norm=0.1869, loss=0.0061, param_norm=1387.7400"
34500,"grad_norm=0.1645, loss=0.0059, param_norm=1387.7473"
34600,"grad_norm=0.1685, loss=0.0059, param_norm=1387.7546"
34700,"grad_norm=0.1741, loss=0.0059, param_norm=1387.7622"
34800,"grad_norm=0.1796, loss=0.0059, param_norm=1387.7697"
34900,"grad_norm=0.1723, loss=0.0059, param_norm=1387.7769"
35000,"grad_norm=0.1755, loss=0.0060, param_norm=1387.7841"
35100,"grad_norm=0.1740, loss=0.0059, param_norm=1387.7915"
35200,"grad_norm=0.1749, loss=0.0059, param_norm=1387.7988"
35300,"grad_norm=0.1768, loss=0.0060, param_norm=1387.8060"
35400,"grad_norm=0.1869, loss=0.0061, param_norm=1387.8136"
35500,"grad_norm=0.1681, loss=0.0060, param_norm=1387.8210"
35600,"grad_norm=0.1666, loss=0.0059, param_norm=1387.8286"
35700,"grad_norm=0.1799, loss=0.0058, param_norm=1387.8361"
35800,"grad_norm=0.1668, loss=0.0059, param_norm=1387.8434"
35900,"grad_norm=0.1780, loss=0.0059, param_norm=1387.8506"
36000,"grad_norm=0.1613, loss=0.0059, param_norm=1387.8579"
36100,"grad_norm=0.1774, loss=0.0059, param_norm=1387.8655"
36200,"grad_norm=0.1697, loss=0.0061, param_norm=1387.8728"
36300,"grad_norm=0.1789, loss=0.0058, param_norm=1387.8802"
36400,"grad_norm=0.1845, loss=0.0058, param_norm=1387.8875"
36500,"grad_norm=0.1642, loss=0.0057, param_norm=1387.8947"
36600,"grad_norm=0.1668, loss=0.0058, param_norm=1387.9021"
36700,"grad_norm=0.1722, loss=0.0060, param_norm=1387.9093"
36800,"grad_norm=0.1668, loss=0.0057, param_norm=1387.9169"
36900,"grad_norm=0.1750, loss=0.0058, param_norm=1387.9243"
37000,"grad_norm=0.1761, loss=0.0058, param_norm=1387.9316"
37100,"grad_norm=0.1802, loss=0.0059, param_norm=1387.9387"
37200,"grad_norm=0.1763, loss=0.0058, param_norm=1387.9459"
37300,"grad_norm=0.1730, loss=0.0058, param_norm=1387.9532"
37400,"grad_norm=0.1659, loss=0.0058, param_norm=1387.9606"
